Seq,AOU,English_Common_Name,French_Common_Name,Latin_Name,ORDER,Family,Genus,Species,Latin_Name_clean,Latin_Name_synonym,Latin_Name_synonym2,Type,AOU1,,,,
256,1830,Roseate Spoonbill,Spatule rosée,Platalea ajaja,Pelecaniformes,Threskiornithidae,Platalea,ajaja,Platalea ajaja,,,species,,,,,
257,3260,Black Vulture,Urubu noir,Coragyps atratus,Accipitriformes,Cathartidae,Coragyps,atratus,Coragyps atratus,,,species,,,,,
258,3250,Turkey Vulture,Urubu à tête rouge,Cathartes aura,Accipitriformes,Cathartidae,Cathartes,aura,Cathartes aura,,,species,,,,,
260,3255,unid. Black Vulture / Turkey Vulture,unid Urubu noir / Urubu à tête rouge,Coragyps atratus / Cathartes aura,Accipitriformes,Cathartidae,Coragyps / Cathartes,atratus / aura,,,,species,,,,,
261,3240,California Condor,Condor de Californie,Gymnogyps californianus,Accipitriformes,Cathartidae,Gymnogyps,californianus,Gymnogyps californianus,,,species,,,,,
263,3640,Osprey,Balbuzard pêcheur,Pandion haliaetus,Accipitriformes,Pandionidae,Pandion,haliaetus,Pandion haliaetus,,,species,,,,,
265,3271,Hook-billed Kite,Milan bec-en-croc,Chondrohierax uncinatus,Accipitriformes,Accipitridae,Chondrohierax,uncinatus,Chondrohierax uncinatus,,,species,,,,,
266,3270,Swallow-tailed Kite,Milan à queue fourchue,Elanoides forficatus,Accipitriformes,Accipitridae,Elanoides,forficatus,Elanoides forficatus,,,species,,,,,
267,3280,White-tailed Kite,Élanion à queue blanche,Elanus leucurus,Accipitriformes,Accipitridae,Elanus,leucurus,Elanus leucurus,,,species,,,,,
268,3300,Snail Kite,Milan des marais,Rostrhamus sociabilis,Accipitriformes,Accipitridae,Rostrhamus,sociabilis,Rostrhamus sociabilis,,,species,,,,,
270,3290,Mississippi Kite,Milan du Mississippi,Ictinia mississippiensis,Accipitriformes,Accipitridae,Ictinia,mississippiensis,Ictinia mississippiensis,,,species,,,,,
272,3520,Bald Eagle,Pygargue à tête blanche,Haliaeetus leucocephalus,Accipitriformes,Accipitridae,Haliaeetus,leucocephalus,Haliaeetus leucocephalus,,,species,,,,,
276,3310,Northern Harrier,Busard Saint-Martin,Circus cyaneus,Accipitriformes,Accipitridae,Circus,cyaneus,Circus cyaneus,,,species,,,,,
278,3320,Sharp-shinned Hawk,Épervier brun,Accipiter striatus,Accipitriformes,Accipitridae,Accipiter,striatus,Accipiter striatus,,,species,,,,,
279,3330,Cooper's Hawk,Épervier de Cooper,Accipiter cooperii,Accipitriformes,Accipitridae,Accipiter,cooperii,Accipiter cooperii,,,species,,,,,
281,3340,Northern Goshawk,Autour des palombes,Accipiter gentilis,Accipitriformes,Accipitridae,Accipiter,gentilis,Accipiter gentilis,,,species,,,,,
282,3333,unid. Accipiter Hawk,unid épervier sp.,Accipiter sp.,Accipitriformes,Accipitridae,Accipiter,sp.,,,,species,,,,,
284,3450,Common Black Hawk,Buse noire,Buteogallus anthracinus,Accipitriformes,Accipitridae,Buteogallus,anthracinus,Buteogallus anthracinus,,,species,,,,,
288,3350,Harris's Hawk,Buse de Harris,Parabuteo unicinctus,Accipitriformes,Accipitridae,Parabuteo,unicinctus,Parabuteo unicinctus,,,species,,,,,
289,3410,White-tailed Hawk,Buse à queue blanche,Geranoaetus albicaudatus,Accipitriformes,Accipitridae,Geranoaetus,albicaudatus,Geranoaetus albicaudatus,,,species,,,,,
291,3460,Gray Hawk,Buse grise,Buteo plagiatus,Accipitriformes,Accipitridae,Buteo,plagiatus,Buteo plagiatus,Asturina plagiata,,species,,,,,
292,3390,Red-shouldered Hawk,Buse à épaulettes,Buteo lineatus,Accipitriformes,Accipitridae,Buteo,lineatus,Buteo lineatus,,,species,,,,,
293,3430,Broad-winged Hawk,Petite Buse,Buteo platypterus,Accipitriformes,Accipitridae,Buteo,platypterus,Buteo platypterus,,,species,,,,,
294,3440,Short-tailed Hawk,Buse à queue courte,Buteo brachyurus,Accipitriformes,Accipitridae,Buteo,brachyurus,Buteo brachyurus,,,species,,,,,
295,3420,Swainson's Hawk,Buse de Swainson,Buteo swainsoni,Accipitriformes,Accipitridae,Buteo,swainsoni,Buteo swainsoni,,,species,,,,,
296,3400,Zone-tailed Hawk,Buse à queue barrée,Buteo albonotatus,Accipitriformes,Accipitridae,Buteo,albonotatus,Buteo albonotatus,,,species,,,,,
297,3370,Red-tailed Hawk,Buse à queue rousse,Buteo jamaicensis,Accipitriformes,Accipitridae,Buteo,jamaicensis,Buteo jamaicensis,,,species,,,,,
298,3380,(Harlan's Hawk) Red-tailed Hawk,Buse à queue rousse (groupe harlani),Buteo jamaicensis harlani,Accipitriformes,Accipitridae,Buteo,jamaicensis harlani,Buteo jamaicensis harlani,,,species,,,,,
299,3470,Rough-legged Hawk,Buse pattue,Buteo lagopus,Accipitriformes,Accipitridae,Buteo,lagopus,Buteo lagopus,,,species,,,,,
300,3451,unid. Buteo Hawk,unid Buse sp.,Buteo sp.,Accipitriformes,Accipitridae,Buteo,sp.,,,,species,,,,,
301,3480,Ferruginous Hawk,Buse rouilleuse,Buteo regalis,Accipitriformes,Accipitridae,Buteo,regalis,Buteo regalis,,,species,,,,,
304,3490,Golden Eagle,Aigle royal,Aquila chrysaetos,Accipitriformes,Accipitridae,Aquila,chrysaetos,Aquila chrysaetos,,,species,,,,,
309,2150,Yellow Rail,Râle jaune,Coturnicops noveboracensis,Gruiformes,Rallidae,Coturnicops,noveboracensis,Coturnicops noveboracensis,,,species,,,,,
312,2160,Black Rail,Râle noir,Laterallus jamaicensis,Gruiformes,Rallidae,Laterallus,jamaicensis,Laterallus jamaicensis,,,species,,,,,
314,2111,Ridgway's Rail,Râle de Californie,Rallus obsoletus,Gruiformes,Rallidae,Rallus,obsoletus,Rallus obsoletus,Rallus longirostris,,species,,,,,
315,2110,Clapper Rail,Râle tapageur,Rallus crepitans,Gruiformes,Rallidae,Rallus,crepitans,Rallus crepitans,,,species,,,,,
317,2080,King Rail,Râle élégant,Rallus elegans,Gruiformes,Rallidae,Rallus,elegans,Rallus elegans,,,species,,,,,
