x
Caprimulgus arizonae
Stellula calliope
Nandayus nenday
Aphelocoma ultramarina
Parus carolinensis
Parus atricapillus
Parus gambeli
Parus sclateri
Parus rufescens
Parus hudsonicus
Troglodytes troglodytes
Zoothera naevia
Calcarius mccownii
Seiurus motacilla
Seiurus noveboracensis
Vermivora pinus
Vermivora peregrina
Vermivora celata
Vermivora luciae
Vermivora ruficapilla
Vermivora virginiae
Oporornis tolmiei
Oporornis philadelphia
Oporornis formosus
Wilsonia citrina
Dendroica kirtlandii
Dendroica tigrina
Dendroica cerulea
Parula americana
Parula pitiayumi
Dendroica magnolia
Dendroica castanea
Dendroica fusca
Dendroica petechia
Dendroica pensylvanica
Dendroica striata
Dendroica caerulescens
Dendroica palmarum
Dendroica pinus
Dendroica coronata
Dendroica dominica
Dendroica discolor
Dendroica graciae
Dendroica nigrescens
Dendroica townsendi
Dendroica occidentalis
Dendroica chrysoparia
Dendroica virens
Wilsonia canadensis
Wilsonia pusilla
Pipilo fuscus
Pipilo crissalis
Pipilo aberti
Aimophila carpalis
Aimophila botterii
Aimophila cassinii
Aimophila aestivalis
Spizella arborea
Amphispiza nevadensis
Amphispiza belli
Carpodacus mexicanus
Carpodacus purpureus
Carpodacus cassinii
Carduelis flammea
Carduelis hornemanni
Carduelis pinus
Carduelis psaltria
Carduelis lawrencei
Carduelis tristis
